1712.05,3649.91,3122.243798,4190.043406;your,doing
1712.09,3266.33,1435.547224,1592.744903;help,helluva
1712.11,3293.23,1178.371355,1337.127228;ONLY,PBM
1712.17,3280.19,2736.555989,4423.315033;apoplectic,your
1712.19,3247.17,2156.822299,1204.207832;go,Subject
1712.38,3248.29,2611.845741,2415.913224;From,helluva
1712.41,3398.98,3302.924840,4800.892531;PBM,helluva
1712.42,3429.79,3409.785834,1831.018932;have,Subject
1712.56,3249.41,2101.016030,4691.142363;helluva,season
1712.59,3211.97,1732.081800,3909.931659;all,that
1712.63,3053.69,4680.146982,3026.696243;ya,apoplectic
1712.8,3788.56,2704.008249,3720.082948;go,that
1712.97,3791.42,4858.708148,2630.622683;your,that
1713.05,3014.74,4482.686043,1710.180755;ONLY,all
1713.05,3413.37,1433.866524,1113.543718;Mueller,your
1713.1,3277.82,3689.621940,2185.357150;help,There
1713.13,3246.9,2882.631299,3972.500010;your,Rene
1713.15,3295.56,2162.863032,2422.034279;VAX,Rene
1713.43,3435.69,4805.703464,4819.705896;VAX,ONLY
1713.46,3435.74,3457.070347,3892.339497;doing,VAX
1713.49,3264.47,4337.535836,3370.204578;that,doing
1713.58,3249.53,3586.122662,1720.749030;go,season
1713.81,3440.43,3184.216776,1585.527459;ya,all
1713.85,3288.42,1422.014843,1258.594007;Mueller,Mueller
1713.96,3282.77,3793.416875,1883.859383;VAX,helluva
1714.13,3114.99,4328.833936,3791.086278;There,out
1714.41,3662.92,4973.718173,4757.156198;helluva,helluva
1714.52,3020.25,3730.842905,4762.983548;ONLY,apoplectic
1714.54,3291.27,2185.013660,1486.517566;try,season
1714.77,3240.5,2372.002005,1918.760739;helluva,help
1714.81,3293.82,1669.576661,2346.809285;your,There
1714.85,3291.61,1174.230688,4605.321274;From,season
1714.87,3669.33,2628.757012,2625.033789;From,go
1715.07,3680.65,1679.592002,4379.624067;From,out
1715.25,3291.83,2981.119709,2378.173755;Mueller,help
1715.44,3145.63,4673.795724,1889.571817;go,ya
1715.53,3227.21,4514.724801,1220.048852;VAX,apoplectic
1715.56,3443.94,2326.788579,1276.495130;like,Mueller
1715.64,3263.22,1976.556763,3742.703176;Mueller,Subject
1715.64,3662.66,3305.321324,3806.347745;all,apoplectic
1715.83,3292.02,3776.111929,1130.447560;doing,apoplectic
1715.93,3724.8,2502.925727,4344.205827;help,vaxa
1716.01,3265.57,4902.969228,3824.828082;VAX,go
1716.05,3265.59,2320.452105,2149.898785;helluva,like
1716.28,3028.37,1628.813892,3099.487151;ya,There
1716.31,3231.15,2924.848342,4602.969139;go,all
1716.47,3292.08,3711.825421,2735.656265;all,apoplectic
1716.63,3279.99,4833.880517,2534.307757;your,ONLY
1716.73,3254.77,1877.867725,1040.637618;Subject,ONLY
1716.79,3064.89,3236.240821,3456.924870;try,that
1716.79,3292.68,4121.808077,1416.398790;your,your
1716.82,3281.01,3155.615101,3195.942783;all,helluva
1717.03,3282.08,4832.681392,1346.274502;season,try
1717.12,3758.12,1492.277431,4096.418155;apoplectic,ONLY
1717.31,3436.55,2492.245074,4048.073523;Rene,doing
1717.55,3283.93,1493.957132,4255.413503;helluva,go
1717.59,3164.78,2285.331479,3836.923255;season,Subject
1717.74,3668.86,2266.179522,3272.598567;Rene,VAX
1717.75,3106.58,2721.368889,4272.243146;apoplectic,ya
1717.84,3264.81,2197.027120,2083.821075;doing,out
1718.29,3264.29,2011.240691,4589.829835;Subject,go
1718.7,3280.92,3604.610842,2570.726433;that,try
1718.87,3076.91,1861.563301,3074.082182;season,your
1719.05,3728.59,4952.248324,1523.674520;ya,From
1719.86,3046.4,4473.592466,1355.303015;apoplectic,There
1720.36,3279.76,3011.528295,1527.646750;season,your
1720.44,3723.38,2534.946250,3780.482172;your,season
1720.49,3279.68,2753.176859,2360.803323;Rene,ONLY
1720.66,3345.34,1577.717038,1029.212974;Rene,apoplectic
1720.75,3161.48,3835.912683,4005.143867;apoplectic,season
1720.76,3281.85,2845.386252,3205.488972;There,PBM
1720.85,3320.21,1152.321846,3145.273047;apoplectic,Rene
1721.02,3251.03,2452.175525,3736.356942;From,VAX
1721.18,3283.74,1427.885358,3233.258989;VAX,Subject
1721.73,3167.45,3403.711073,2609.783034;apoplectic,Rene
1721.76,3346.73,1148.428464,2569.600423;like,ya
1721.82,3448.41,1995.632403,3682.130534;all,Subject
1722.13,3082.1,3373.667527,2711.670244;From,There
1722.13,3287.99,1129.371063,1330.856200;go,ONLY
1722.42,3710.57,4699.102891,4179.932297;all,There
1722.84,3195.54,1133.136319,3849.722444;season,Rene
1722.86,3347.34,2069.408776,4674.574940;apoplectic,apoplectic
1723.2,3018.14,3932.986342,2835.010776;like,ya
1723.22,3786.59,1067.367356,3529.109815;PBM,help
1723.42,3291.64,4497.159826,3080.831534;ya,ya
1723.47,3292.07,3865.003717,1029.847095;that,Subject
1723.5,3337.96,2048.886265,4638.952370;vaxa,that
1723.56,3161.36,2053.411118,2727.533920;season,go
1723.57,3253.32,2889.092641,1613.090534;Mueller,There
1723.7,3294.38,2638.357107,4867.862896;helluva,all
1723.75,3294.81,1386.829576,1817.007922;help,try
1723.82,3347.41,3665.769339,1555.836757;Rene,all
1723.91,3361.77,1675.396660,4377.182367;From,try
1724.04,3571.77,1989.035483,1513.483693;PBM,VAX
1724.26,3460.55,4833.615372,2813.866825;Mueller,helluva
1724.27,3360.64,3533.301640,4607.478699;try,like
1724.75,3167.2,3024.337692,2726.697139;apoplectic,apoplectic
1725.16,3246.3,2060.503556,3151.673292;VAX,apoplectic
1725.31,3443.87,3407.244531,4653.331499;season,helluva
1725.38,3247.52,3816.439794,1362.203558;season,ONLY
0,0,2532.204150,1348.096197;doing,that
0,0,2139.069899,1556.428497;like,that
0,0,3537.927037,3889.818726;small,There
0,0,2983.929971,1382.542852;go,There
0,0,2399.257371,2609.484246;Subject,season
0,0,2063.251672,2646.332693;PBM,try
0,0,2177.126059,3704.238253;PBM,like
0,0,1484.642285,4645.976394;Rene,helluva
0,0,4186.145842,3174.721863;that,apoplectic
0,0,3179.234669,3356.575578;VAX,apoplectic
0,0,3301.895993,3888.978903;doing,ONLY
0,0,1481.664819,4141.283268;like,season
0,0,1063.992366,4658.988091;Rene,apoplectic
0,0,1107.696729,4925.654957;There,ONLY
0,0,4609.404945,4010.321061;ONLY,VAX
0,0,1471.532045,1857.572882;Subject,Rene
0,0,1323.863563,2310.295011;help,Rene
0,0,2289.361809,3159.710424;Subject,There
0,0,3287.204371,3552.594547;your,your
0,0,3744.757080,1814.976514;ya,all
0,0,4257.477319,3323.736376;Rene,VAX
0,0,3217.882269,4646.416612;go,There
0,0,1327.555651,1087.986472;apoplectic,like
0,0,3319.805633,1835.178269;all,Subject
0,0,2902.218800,4601.381992;PBM,all
0,0,2572.441594,2793.160523;season,doing
0,0,2570.900254,2919.510230;Rene,There
0,0,4868.253260,4629.365894;From,help
0,0,1423.968233,4374.016212;helluva,like
0,0,3812.915551,1110.727970;ya,VAX
0,0,3542.356121,2474.397167;that,ya
0,0,4739.157200,1841.326095;PBM,Subject
0,0,3905.195166,1086.726629;all,Mueller
0,0,2814.627222,2416.843142;Mueller,apoplectic
0,0,4110.042196,4537.011639;help,go
0,0,4663.748591,3826.650348;From,ONLY
0,0,4316.600752,4541.308667;From,VAX
0,0,2934.048241,2836.298572;PBM,helluva
0,0,1800.701032,1128.801149;season,helluva
